VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-05-01 12:48:35,2024-05-01 13:07:43,N,1.0,41,243,1.0,4.12,21.9,0.0,0.5,0.0,0.0,,0.3,22.7,2.0,1.0,0.0
2,2024-05-01 12:05:22,2024-05-01 12:36:26,N,1.0,196,258,1.0,4.64,29.6,0.0,0.5,0.0,0.0,,1.0,31.1,2.0,1.0,0.0
2,2024-05-01 12:19:10,2024-05-01 12:30:22,N,1.0,75,262,1.0,1.4,11.4,0.0,0.5,3.13,0.0,,1.0,18.78,1.0,1.0,2.75
2,2024-05-01 12:48:34,2024-05-01 13:11:41,N,1.0,43,43,1.0,2.07,19.8,0.0,0.5,0.95,0.0,,1.0,25.0,1.0,1.0,2.75
2,2024-05-01 12:52:37,2024-05-01 13:01:49,N,1.0,43,238,1.0,1.68,10.7,0.0,0.5,2.99,0.0,,1.0,17.94,1.0,1.0,2.75
2,2024-05-01 12:18:14,2024-05-01 12:46:06,N,1.0,166,161,1.0,3.94,26.1,0.0,0.5,6.07,0.0,,1.0,36.42,1.0,1.0,2.75
2,2024-05-01 12:44:33,2024-05-01 13:00:20,N,5.0,42,74,1.0,1.71,15.0,0.0,0.0,0.0,0.0,,1.0,16.0,2.0,2.0,0.0
2,2024-05-01 12:45:11,2024-05-01 13:13:24,N,1.0,97,37,1.0,3.23,26.1,0.0,0.5,10.0,0.0,,1.0,37.6,1.0,1.0,0.0
1,2024-05-01 12:36:32,2024-05-01 12:53:02,N,1.0,42,75,1.0,2.1,15.6,0.0,1.5,0.0,0.0,,1.0,17.1,2.0,1.0,0.0
2,2024-05-01 12:24:03,2024-05-01 12:31:28,N,1.0,82,56,1.0,0.85,8.6,0.0,0.5,0.0,0.0,,1.0,10.1,2.0,1.0,0.0
2,2024-05-01 12:43:01,2024-05-01 12:50:47,N,1.0,82,82,1.0,0.67,8.6,0.0,0.5,0.0,0.0,,1.0,10.1,2.0,1.0,0.0
2,2024-05-01 12:42:01,2024-05-01 12:56:44,N,1.0,74,166,1.0,1.81,14.2,0.0,0.5,3.14,0.0,,1.0,18.84,1.0,1.0,0.0
1,2024-05-01 12:13:39,2024-05-01 12:42:37,Y,1.0,24,161,1.0,3.9,24.0,2.75,1.5,0.0,0.0,,1.0,28.25,2.0,1.0,2.75
2,2024-05-01 12:10:45,2024-05-01 12:21:08,N,1.0,82,135,2.0,3.93,17.7,0.0,0.5,3.84,0.0,,1.0,23.04,1.0,1.0,0.0
2,2024-05-01 12:03:10,2024-05-01 12:17:49,N,1.0,66,79,1.0,4.29,21.2,0.0,0.5,18.08,0.0,,1.0,43.53,1.0,1.0,2.75
2,2024-05-01 12:03:38,2024-05-01 12:23:48,N,1.0,74,238,1.0,2.49,19.8,0.0,0.5,4.26,0.0,,1.0,25.56,1.0,1.0,0.0
2,2024-05-01 12:26:36,2024-05-01 12:30:14,N,1.0,75,41,1.0,0.55,5.8,0.0,0.5,2.19,0.0,,1.0,9.49,1.0,1.0,0.0
2,2024-05-01 12:36:11,2024-05-01 13:14:50,N,1.0,43,249,1.0,7.01,42.2,0.0,0.5,3.0,0.0,,1.0,49.45,1.0,1.0,2.75
1,2024-05-01 12:10:22,2024-05-01 12:45:04,N,1.0,89,139,1.0,0.0,46.5,0.0,1.5,0.0,0.0,,1.0,48.0,1.0,1.0,0.0
2,2024-05-01 12:36:59,2024-05-01 12:53:08,N,1.0,95,56,1.0,2.37,16.3,0.0,0.5,0.0,0.0,,1.0,17.8,2.0,1.0,0.0
1,2024-05-01 12:01:43,2024-05-01 12:12:13,N,1.0,74,75,1.0,0.9,10.7,0.0,1.5,0.0,0.0,,1.0,12.2,3.0,1.0,0.0
1,2024-05-01 12:44:35,2024-05-01 12:58:23,N,1.0,74,75,1.0,1.4,13.5,0.0,1.5,3.0,0.0,,1.0,18.0,1.0,1.0,0.0
2,2024-05-01 12:01:32,2024-05-01 12:16:52,N,1.0,74,75,1.0,1.32,14.2,0.0,0.5,4.71,0.0,,1.0,20.41,1.0,1.0,0.0
2,2024-05-01 12:07:24,2024-05-01 12:26:53,N,1.0,95,56,1.0,2.65,19.8,0.0,0.5,2.0,0.0,,1.0,23.3,1.0,1.0,0.0
1,2024-05-01 12:06:17,2024-05-01 12:30:45,N,1.0,33,255,1.0,0.0,21.5,0.0,1.5,0.0,0.0,,1.0,23.0,1.0,1.0,0.0
2,2024-05-01 12:57:43,2024-05-01 13:26:52,N,1.0,75,148,1.0,7.02,35.2,0.0,0.5,8.0,0.0,,1.0,47.45,1.0,1.0,2.75
2,2024-05-01 12:03:33,2024-05-01 12:18:30,N,1.0,75,239,1.0,1.64,14.9,0.0,0.5,5.74,0.0,,1.0,24.89,1.0,1.0,2.75
2,2024-05-01 12:00:44,2024-05-01 12:10:20,N,1.0,74,41,1.0,1.23,10.0,0.0,0.5,5.0,0.0,,1.0,16.5,1.0,1.0,0.0
2,2024-05-01 12:08:05,2024-05-01 12:56:06,N,1.0,97,132,1.0,12.61,59.0,0.0,0.5,18.15,0.0,,1.0,78.65,1.0,1.0,0.0
